BELNR,WAERS,BUKRS,KTOSL,PRCTR,BSCHL,HKONT,DMBTR,WRBTR,label
377416,C1,C13,C8,C82,A1,B3,240966.7,0,regular
377417,C7,C78,C2,C20,A3,B3,177362.04,0,regular
377418,C1,C18,C1,C17,A1,B1,630402.65,0,regular
377419,C2,C24,C1,C11,A1,B1,6132926.74,0,regular
377420,C1,C16,C6,C69,A1,B2,856007.81,0,regular
377421,C8,C82,C1,C12,A1,B1,465862.33,0,regular
377422,C1,C16,C2,C29,A1,B3,185471.63,64892,regular
377423,C1,C17,C3,C33,A1,B2,595963.39,239362.34,regular
377424,C1,C10,C1,C13,A1,B1,119306.62,108979,regular
377425,C1,C13,C1,C19,A1,B1,477192.71,660600.62,regular
377426,C8,C87,C4,C42,A1,B3,14838.52,0,regular
377427,C1,C16,C1,C19,A1,B1,719329.45,72645.07,regular
377428,C7,C78,C1,C18,A3,B1,13923.94,0,regular
377429,C1,C12,C2,C20,A1,B3,693450.78,5898,regular
377430,C1,C16,C1,C13,A1,B1,700027.52,0,regular
377431,C8,C87,C1,C10,A1,B1,1211689.58,117241,regular
377432,C4,C44,C1,C15,A2,B1,5080832.35,51656,regular
377433,C1,C17,C2,C21,A1,B3,235749.37,0,regular
377434,C2,C20,C4,C49,A1,B3,1141468.08,0,regular
377435,C6,C63,C2,C26,A2,B3,1818094.61,0,regular
377436,C1,C12,C4,C42,A1,B3,1654140.52,43675,regular
377437,C6,C62,C1,C14,A2,B1,744611.91,0,regular
377438,C5,C51,C1,C10,A3,B1,243589.8,0,regular
377439,C1,C10,C8,C86,A1,B3,194537.13,0,regular
377440,C1,C10,C7,C79,A1,B2,12697.8,0,regular
377441,C7,C78,C1,C13,A3,B1,440202.81,0,regular
377442,C3,C32,C2,C20,A3,B3,10000000,25455965.86,regular
377443,C1,C19,C3,C39,A1,B2,6318.77,11401,regular
377444,C1,C14,C7,C72,A1,B2,507953.42,0,regular
377445,C1,C16,C4,C44,A1,B3,296316.47,3011,regular
377446,C1,C16,C7,C77,A1,B2,1071648.74,337,regular
377447,C2,C21,C1,C16,A1,B1,802544.83,0,regular
377448,C7,C71,C8,C83,A3,B3,3217369.79,0,regular
377449,C1,C11,C7,C76,A1,B2,361823.39,0,regular
377450,C1,C15,C1,C19,A1,B1,1075053.08,0,regular
377451,C2,C21,C1,C19,A1,B1,334039.03,0,regular
377452,C2,C26,C2,C26,A1,B3,57258.72,0,regular
377453,C8,C82,C1,C15,A1,B1,447251.31,47212.74,regular
377454,C1,C15,C1,C19,A1,B1,408115.92,648,regular
377455,C1,C15,C4,C48,A1,B3,272059.13,10457,regular
377456,C3,C35,C1,C15,A3,B1,1211939.11,0,regular
377457,C2,C21,C6,C62,A1,B2,113556.69,0,regular
377458,C6,C67,C1,C17,A2,B1,127240.72,11375,regular
377459,C2,C21,C6,C66,A1,B2,977382.07,11262,regular
377460,C2,C27,C1,C12,A1,B1,133558.17,0,regular
377461,C1,C13,C1,C18,A1,B1,432971.96,18971,regular
377462,C1,C18,C4,C41,A1,B3,1627492.41,0,regular
377463,C3,C30,C1,C16,A3,B1,1321240.35,131,regular
377464,C1,C16,C1,C17,A1,B1,299610.72,20690,regular
377465,C1,C16,C1,C13,A1,B1,110027.96,51799,regular
377466,C5,C54,C2,C25,A3,B3,534004.53,264,regular
377467,C1,C16,C8,C88,A1,B3,9326185.42,515,regular
377468,C1,C14,C2,C20,A1,B3,458476.47,0,regular
377469,C1,C16,C1,C12,A1,B1,195175.59,0,regular
377470,C9,C90,C1,C15,A2,B1,588796.88,0,regular
377471,C4,C44,C1,C15,A2,B1,1049424.26,1049424.26,regular
377472,C4,C44,C1,C11,A2,B1,9193.69,0,regular
377473,C7,C78,C9,C90,A3,B1,530355.81,0,regular
377474,C1,C14,C5,C59,A1,B1,7687.91,41669,regular
377475,C8,C81,C1,C12,A1,B1,4812403.7,0,regular
377476,C6,C64,C6,C60,A2,B2,2577106.55,0,regular
377477,C8,C87,C1,C11,A1,B1,3714626.16,327,regular
377478,C1,C18,C1,C12,A1,B1,1932547.56,0,regular
377479,C1,C18,C6,C69,A1,B2,410779.34,0,regular
377480,C1,C11,C8,C81,A1,B3,779519.88,0,regular
377481,C1,C16,C1,C10,A1,B1,127192.3,0,regular
377482,C1,C10,C3,C35,A1,B2,840525.83,0,regular
377483,C4,C44,C3,C36,A2,B2,1125413.79,0,regular
377484,C1,C11,C1,C13,A1,B1,38926.55,142,regular
377485,C2,C28,C1,C13,A1,B1,1632425.89,0,regular
377486,C2,C21,C1,C13,A1,B1,209619.79,0,regular
377487,C1,C12,C1,C10,A1,B1,330643.56,0,regular
377488,C9,C91,C1,C13,A2,B1,92124.57,13158,regular
377489,C1,C15,C3,C32,A1,B2,541942.26,0,regular
377490,C1,C13,C6,C69,A1,B2,386181.78,11214,regular
377491,C1,C13,C4,C47,A1,B3,338364.14,338364.14,regular
377492,C9,C95,C1,C19,A2,B1,17261.15,106344.59,regular
377493,C1,C16,C5,C50,A1,B1,556305.55,515935,regular
377494,C5,C55,C1,C19,A3,B1,1002443.41,205412,regular
377495,C2,C20,C1,C11,A1,B1,246225.28,26418,regular
377496,C9,C90,C1,C15,A2,B1,188966.1,0,regular
377497,C2,C20,C7,C74,A1,B2,260432.05,0,regular
377498,C4,C44,C1,C11,A2,B1,260120.71,0,regular
377499,C9,C98,C1,C17,A2,B1,844706.59,0,regular
377500,C4,C43,C1,C16,A2,B1,810303.36,0,regular
377501,C1,C16,C4,C47,A1,B3,120512.37,0,regular
377502,C1,C16,C1,C14,A1,B1,243469.18,0,regular
377503,C1,C19,C5,C58,A1,B1,994780.93,20593,regular
377504,C5,C58,C2,C20,A3,B3,360206.21,0,regular
377505,C1,C18,C1,C16,A1,B1,550608.23,0,regular
377506,C1,C14,C1,C11,A1,B1,1134040.16,0,regular
377507,C3,C35,C9,C97,A3,B1,112128.97,0,regular
377508,C3,C34,C1,C17,A3,B1,634383.84,285335,regular
377509,C1,C15,C1,C17,A1,B1,748327.85,0,regular
377510,C1,C13,C2,C24,A1,B3,75848.39,0,regular
377511,C5,C55,C1,C12,A3,B1,147317.41,0,regular
377512,C7,C77,C1,C19,A3,B1,307189.31,0,regular
377513,C9,C93,C8,C88,A2,B3,166076.75,0,regular
377514,C5,C50,C4,C47,A3,B3,207488.22,372,regular
377515,C1,C19,C1,C11,A1,B1,360050.22,23129.66,regular
377516,C1,C12,C2,C20,A1,B3,2315303.6,456,regular
377517,C1,C19,C1,C11,A1,B1,144463.77,85970,regular
377518,C5,C52,C8,C81,A3,B3,220819.95,22116,regular
377519,C1,C18,C9,C98,A1,B1,44468.86,51316,regular
377520,C2,C20,C1,C16,A1,B1,969553.62,0,regular
377521,C1,C18,C5,C51,A1,B1,749910.65,0,regular
377522,C2,C21,C6,C64,A1,B2,2294904.42,0,regular
377523,C1,C19,C6,C60,A1,B2,1698905.99,0,regular
377524,C1,C10,C1,C13,A1,B1,632510.03,0,regular
377525,C1,C11,C1,C19,A1,B1,319100.49,9426,regular
377526,C1,C10,C9,C96,A1,B1,313301.42,0,regular
377527,C1,C13,C1,C11,A1,B1,1351634.37,0,regular
377528,C1,C13,C2,C21,A1,B3,125026.23,0,regular
377529,C8,C81,C1,C15,A1,B1,1232341.83,11277,regular
377530,C1,C11,C7,C74,A1,B2,307873.06,32964,regular
377531,C1,C14,C9,C94,A1,B1,224742.15,0,regular
377532,C1,C15,C1,C17,A1,B1,91413.75,0,regular
377533,C2,C20,C1,C10,A1,B1,1743441.14,50369.22,regular
377534,C3,C35,C4,C42,A3,B3,532796.12,67966,regular
377535,C6,C67,C1,C11,A2,B1,331110.26,0,regular
377536,C5,C59,C4,C41,A3,B3,650889.71,0,regular
377537,C4,C45,C2,C21,A2,B3,416063.37,184952.95,regular
377538,C2,C21,C1,C14,A1,B1,239063.37,487538.3,regular
377539,C7,C72,C2,C23,A3,B3,18887,18887,regular
377540,C1,C10,C1,C11,A1,B1,518638.92,0,regular
377541,C5,C51,C1,C11,A3,B1,882013.18,276606.49,regular
377542,C5,C51,C1,C11,A3,B1,1381652.38,10001,regular
377543,C3,C38,C1,C12,A3,B1,959909.32,0,regular
377544,C5,C52,C6,C63,A3,B2,15726.74,0,regular
377545,C1,C16,C6,C67,A1,B2,337519.99,0,regular
377546,C5,C54,C1,C18,A3,B1,515656.11,107546,regular
377547,C1,C16,C5,C58,A1,B1,391823.74,19610,regular
377548,C2,C20,C1,C12,A1,B1,3571048.18,0,regular
377549,C1,C17,C1,C15,A1,B1,334456.71,11339,regular
377550,C1,C18,C1,C17,A1,B1,1753877.94,0,regular
377551,C1,C15,C2,C20,A1,B3,425313.87,0,regular
377552,C4,C43,C1,C10,A2,B1,1691180.94,0,regular
377553,C1,C13,C1,C10,A1,B1,356499.43,50344,regular
377554,C1,C16,C1,C11,A1,B1,974067.16,141191.58,regular
377555,C6,C61,C1,C12,A2,B1,321291.59,115277,regular
377556,C9,C99,C4,C42,A2,B3,91675.77,168,regular
377557,C1,C17,C8,C82,A1,B3,1160658.39,49768,regular
377558,C2,C24,C6,C66,A1,B2,955546.96,106587,regular
377559,C2,C23,C1,C17,A1,B1,858873.37,0,regular
377560,C1,C16,C2,C29,A1,B3,410461.54,0,regular
377561,C1,C17,C1,C19,A1,B1,3378483.8,73567.79,regular
377562,C1,C19,C8,C85,A1,B3,222483.52,39907,regular
377563,C3,C31,C1,C10,A3,B1,156907.29,213772.6,regular
377564,C1,C13,C7,C72,A1,B2,216526.95,107,regular
377565,C1,C17,C1,C12,A1,B1,5890.81,0,regular
377566,C1,C10,C2,C20,A1,B3,260791.23,129007.03,regular
377567,C1,C10,C7,C77,A1,B2,928728.05,0,regular
377568,C1,C17,C1,C17,A1,B1,776637.13,0,regular
377569,C2,C20,C2,C20,A1,B3,10241.57,0,regular
377570,C1,C15,C2,C23,A1,B3,202551.07,971,regular
377571,C5,C52,C8,C89,A3,B3,323690.42,107135,regular
377572,C4,C43,C1,C10,A2,B1,124023.22,13322,regular
377573,C9,C92,C1,C12,A2,B1,179983,0,regular
377574,C1,C10,C2,C20,A1,B3,322395.66,25528.85,regular
377575,C7,C71,C6,C68,A3,B2,71716.14,0,regular
377576,C4,C44,C7,C79,A2,B2,791660.24,29303,regular
377577,C1,C13,C8,C80,A1,B3,1096205.27,0,regular
377578,C1,C11,C1,C15,A1,B1,624172.91,0,regular
377579,C2,C20,C2,C26,A1,B3,841133.74,0,regular
377580,C1,C10,C3,C32,A1,B2,1429108.54,10047,regular
377581,C1,C16,C5,C52,A1,B1,752146.73,0,regular
377582,C1,C18,C5,C53,A1,B1,104111.64,1390,regular
377583,C1,C10,C3,C32,A1,B2,509172.57,269465.09,regular
377584,C1,C12,C2,C21,A1,B3,940722.23,6225,regular
377585,C1,C18,C1,C19,A1,B1,943684.5,20702,regular
377586,C1,C13,C9,C97,A1,B1,560304.58,0,regular
377587,C3,C30,C1,C19,A3,B1,335189.13,0,regular
377588,C1,C10,C3,C38,A1,B2,278999.16,0,regular
377589,C9,C91,C1,C16,A2,B1,8471875.35,42400,regular
377590,C1,C12,C2,C23,A1,B3,232331.42,1185,regular
377591,C2,C20,C4,C43,A1,B3,1244758.44,0,regular
377592,C1,C18,C1,C11,A1,B1,961078.09,0,regular
377593,C6,C62,C1,C18,A2,B1,2465484.76,0,regular
377594,C1,C12,C1,C17,A1,B1,154362.45,6636,regular
377595,C1,C17,C6,C64,A1,B2,184223.44,20146,regular
377596,C1,C15,C9,C99,A1,B1,291282.16,0,regular
377597,C6,C62,C2,C20,A2,B3,363218.59,15375,regular
377598,C4,C48,C4,C42,A2,B3,186122.64,0,regular
377599,C2,C29,C8,C86,A1,B3,1126975.91,83934.29,regular
377600,C1,C18,C1,C12,A1,B1,235719.67,327828.91,regular
377601,C3,C33,C1,C15,A3,B1,727364.85,5636,regular
377602,C1,C19,C1,C13,A1,B1,353893.69,0,regular
377603,C1,C18,C1,C16,A1,B1,249574.58,0,regular
377604,C1,C13,C1,C11,A1,B1,478256.88,28651,regular
377605,C1,C18,C8,C88,A1,B3,187007.06,0,regular
377606,C2,C26,C1,C10,A1,B1,79472.56,0,regular
377607,C1,C14,C8,C84,A1,B3,164284.84,0,regular
377608,C1,C12,C8,C87,A1,B3,378951.28,0,regular
377609,C1,C12,C6,C69,A1,B2,717598.11,14702,regular
377610,C2,C20,C1,C12,A1,B1,1202921.84,9562,regular
377611,C1,C16,C5,C55,A1,B1,402278.13,318943.92,regular
377612,C1,C19,C2,C20,A1,B3,4639707.94,10683,regular
377613,C1,C15,C1,C16,A1,B1,2093644.04,0,regular
377614,C1,C14,C1,C12,A1,B1,63979.05,594444,regular
377615,C7,C72,C1,C18,A3,B1,1115402.79,6534,regular
377616,C7,C75,C1,C17,A3,B1,288303.35,162,regular
377617,C1,C19,C1,C17,A1,B1,285746.64,24848,regular
377618,C3,C38,C1,C18,A3,B1,302321.31,0,regular
377619,C1,C15,C1,C12,A1,B1,856572.5,148235,regular
377620,C6,C64,C2,C20,A2,B3,163357,143006,regular
377621,C6,C60,C1,C11,A2,B1,597516.64,381,regular
377622,C1,C14,C1,C19,A1,B1,68354.52,0,regular
377623,C9,C91,C4,C44,A2,B3,274304.96,149399.96,regular
377624,C3,C38,C6,C60,A3,B2,30122.91,72605,regular
377625,C2,C20,C2,C20,A1,B3,453185.94,49661,regular
377626,C2,C21,C2,C20,A1,B3,701564.7,482,regular
377627,C5,C50,C1,C18,A3,B1,787639.86,0,regular
377628,C6,C65,C5,C50,A2,B1,1522568.74,11960,regular
377629,C2,C20,C1,C12,A1,B1,593664.02,62081,regular
377630,C2,C25,C1,C17,A1,B1,595850.6,0,regular
377631,C6,C69,C1,C11,A2,B1,144065.75,144065.75,regular
377632,C2,C26,C6,C65,A1,B2,20088.55,755,regular
377633,C9,C90,C7,C70,A2,B2,343845.6,10958,regular
377634,C9,C99,C1,C15,A2,B1,19469.66,0,regular
377635,C1,C16,C1,C10,A1,B1,1309868.19,0,regular
377636,C1,C15,C2,C21,A1,B3,437299.96,0,regular
377637,C3,C36,C1,C11,A3,B1,597981.72,343215.4,regular
377638,C7,C72,C1,C15,A3,B1,262449.91,64879,regular
377639,C1,C16,C1,C16,A1,B1,1410701.89,40160,regular
377640,C6,C67,C1,C15,A2,B1,919650.32,0,regular
377641,C1,C19,C1,C17,A1,B1,267871.08,0,regular
377642,C4,C46,C1,C15,A2,B1,1310923,1651899.01,regular
377643,C1,C19,C3,C37,A1,B2,30881.22,1267,regular
377644,C1,C17,C7,C77,A1,B2,6114.39,0,regular
377645,C1,C19,C1,C12,A1,B1,893733.49,0,regular
377646,C2,C20,C1,C17,A1,B1,736579.27,417206,regular
377647,C3,C30,C1,C11,A3,B1,615943.41,0,regular
377648,C4,C41,C1,C12,A2,B1,21939.14,0,regular
377649,C1,C17,C1,C13,A1,B1,785054.82,580,regular
377650,C1,C19,C1,C17,A1,B1,209678.39,365450.13,regular
377651,C1,C18,C1,C12,A1,B1,1117528.45,573641.44,regular
377652,C1,C18,C1,C12,A1,B1,930440.27,96671,regular
377653,C8,C89,C1,C13,A1,B1,114336.84,52637,regular
377654,C1,C16,C1,C10,A1,B1,1337082,0,regular
377655,C1,C16,C4,C47,A1,B3,302414.81,12235,regular
377656,C1,C19,C1,C15,A1,B1,2470300.71,0,regular
377657,C5,C59,C1,C13,A3,B1,358170.92,172770.01,regular
377658,C1,C12,C1,C19,A1,B1,791346.35,0,regular
377659,C4,C49,C4,C49,A2,B3,531742.25,0,regular
377660,C1,C12,C1,C13,A1,B1,323510.01,16979,regular
377661,C2,C27,C1,C15,A1,B1,976974.5,22328,regular
377662,C5,C52,C7,C75,A3,B2,434500.58,6833,regular
377663,C5,C53,C4,C48,A3,B3,295482.21,40442,regular
377664,C1,C13,C1,C15,A1,B1,1971460.05,0,regular
377665,C1,C16,C1,C16,A1,B1,489663.17,0,regular
377666,C6,C63,C5,C52,A2,B1,263471.59,0,regular
377667,C1,C16,C6,C66,A1,B2,98611.02,0,regular
377668,C1,C19,C1,C15,A1,B1,586526.71,27990,regular
377669,C2,C21,C1,C18,A1,B1,1027242.09,0,regular
377670,C9,C98,C1,C13,A2,B1,1457155.97,15489,regular
377671,C1,C12,C1,C11,A1,B1,680086.07,103630,regular
377672,C1,C19,C6,C61,A1,B2,476729.05,10322,regular
377673,C5,C57,C1,C10,A3,B1,1187655,0,regular
377674,C3,C34,C4,C41,A3,B3,478552.98,0,regular
377675,C8,C83,C3,C35,A1,B2,115238.91,115016.97,regular
377676,C8,C80,C1,C10,A1,B1,67552.4,0,regular
377677,C1,C15,C1,C10,A1,B1,2145217.79,32755,regular
377678,C3,C31,C1,C18,A3,B1,136288.61,0,regular
377679,C1,C12,C1,C13,A1,B1,52312.52,22191,regular
377680,C9,C98,C1,C13,A2,B1,736282.14,10889,regular
377681,C2,C20,C1,C17,A1,B1,396353.14,0,regular
377682,C1,C18,C3,C38,A1,B2,67063.61,0,regular
377683,C1,C12,C5,C58,A1,B1,1747569.63,281393,regular
377684,C2,C21,C1,C18,A1,B1,409853.29,62888,regular
377685,C1,C12,C4,C48,A1,B3,355237.96,36091.63,regular
377686,C1,C11,C5,C58,A1,B1,396948.11,0,regular
377687,C1,C12,C2,C29,A1,B3,610537.4,59765,regular
377688,C1,C10,C1,C17,A1,B1,1923482.96,0,regular
377689,C1,C15,C2,C21,A1,B3,213292.89,12776,regular
377690,C7,C78,C1,C12,A3,B1,665858.31,391,regular
377691,C8,C88,C1,C12,A1,B1,1805950.96,429460,regular
377692,C1,C11,C2,C20,A1,B3,300784.02,70736,regular
377693,C1,C11,C1,C15,A1,B1,36391.14,0,regular
377694,C7,C70,C2,C28,A3,B3,267564.82,51327,regular
377695,C4,C40,C1,C17,A2,B1,2464112.35,0,regular
377696,C1,C10,C1,C10,A1,B1,175565.58,0,regular
377697,C8,C81,C4,C46,A1,B3,460240.69,0,regular
377698,C7,C71,C7,C73,A3,B2,135540.72,2060,regular
377699,C2,C20,C1,C10,A1,B1,523703.61,0,regular
377700,C2,C25,C1,C17,A1,B1,320456.81,87654,regular
377701,C2,C22,C8,C85,A1,B3,339086.43,0,regular
377702,C1,C16,C3,C36,A1,B2,106719.58,101720,regular
377703,C1,C10,C7,C78,A1,B2,894933.15,10063,regular
377704,C9,C92,C8,C82,A2,B3,264291.69,0,regular
377705,C9,C92,C1,C19,A2,B1,1254423.15,0,regular
377706,C1,C19,C1,C17,A1,B1,787904.03,10917,regular
377707,C3,C39,C1,C13,A3,B1,56933.33,0,regular
377708,C1,C15,C6,C64,A1,B2,1201078.58,0,regular
377709,C1,C16,C1,C11,A1,B1,147756.02,0,regular
377710,C2,C21,C8,C89,A1,B3,142793.93,6238,regular
377711,C1,C16,C1,C14,A1,B1,162505.23,0,regular
377712,C1,C12,C1,C18,A1,B1,474495.35,0,regular
377713,C4,C41,C1,C18,A2,B1,378063.73,31945,regular
377714,C7,C71,C1,C12,A3,B1,238487.51,0,regular
377715,C2,C24,C1,C15,A1,B1,694573.74,0,regular
377716,C7,C74,C1,C16,A3,B1,27276.07,27276.07,regular
377717,C1,C11,C1,C11,A1,B1,856791.97,0,regular
377718,C1,C18,C7,C73,A1,B2,1181170.71,0,regular
377719,C1,C11,C1,C17,A1,B1,659801.65,51358,regular
377720,C5,C55,C1,C13,A3,B1,902068.45,0,regular
377721,C1,C19,C1,C14,A1,B1,1530739.15,7478.38,regular
377722,C1,C12,C8,C83,A1,B3,259633.45,0,regular
377723,C1,C19,C1,C10,A1,B1,3221227.24,1242,regular
377724,C8,C89,C1,C16,A1,B1,933738.66,294,regular
377725,C8,C82,C1,C16,A1,B1,35569.66,0,regular
377726,C5,C59,C1,C18,A3,B1,624677.65,10511,regular
377727,C1,C14,C1,C18,A1,B1,1102572.57,0,regular
377728,C1,C14,C1,C13,A1,B1,167647.14,25161,regular
377729,C1,C19,C1,C17,A1,B1,1783.66,11556,regular
377730,C2,C20,C5,C51,A1,B1,449329.93,105,regular
377731,C8,C81,C7,C77,A1,B2,794687.71,0,regular
377732,C1,C18,C7,C73,A1,B2,459908.85,0,regular
377733,C1,C13,C1,C12,A1,B1,2052080.44,31677,regular
377734,C2,C20,C1,C14,A1,B1,438186.74,0,regular
377735,C8,C86,C4,C43,A1,B3,67143.58,230365.62,regular
377736,C8,C84,C2,C20,A1,B3,172645.44,20865,regular
377737,C8,C84,C1,C11,A1,B1,232360.75,0,regular
377738,C1,C11,C3,C30,A1,B2,275438,0,regular
377739,C1,C10,C1,C18,A1,B1,715844.53,41902,regular
377740,C1,C10,C2,C20,A1,B3,486247.06,0,regular
377741,C9,C94,C1,C16,A2,B1,368157.54,0,regular
377742,C3,C37,C3,C32,A3,B2,901177.26,0,regular
377743,C5,C59,C1,C14,A3,B1,304998.78,0,regular
377744,C1,C15,C4,C42,A1,B3,94883.47,8082,regular
377745,C3,C32,C1,C19,A3,B1,920705.28,0,regular
377746,C3,C31,C5,C59,A3,B1,403679.26,314367,regular
377747,C1,C11,C1,C17,A1,B1,204063.37,593,regular
377748,C1,C18,C1,C14,A1,B1,490072.29,14966,regular
377749,C1,C12,C7,C72,A1,B2,252831.93,162423,regular
377750,C1,C10,C2,C20,A1,B3,53749.57,609984,regular
377751,C1,C10,C1,C14,A1,B1,21723.01,0,regular
377752,C1,C17,C1,C14,A1,B1,717046.74,717046.74,regular
377753,C1,C16,C2,C20,A1,B3,260653.53,0,regular
377754,C1,C14,C3,C38,A1,B2,175891.3,0,regular
377755,C1,C15,C2,C20,A1,B3,260946.79,0,regular
377756,C1,C19,C3,C34,A1,B2,2317288.06,1935,regular
377757,C4,C49,C5,C51,A2,B1,494779.54,31757,regular
377758,C4,C43,C7,C75,A2,B2,220260.37,0,regular
377759,C7,C78,C1,C15,A3,B1,156128.95,11735,regular
377760,C7,C70,C1,C14,A3,B1,419407.56,0,regular
377761,C1,C19,C1,C11,A1,B1,439914.95,0,regular
377762,C2,C27,C1,C17,A1,B1,41782.81,0,regular
377763,C1,C12,C9,C92,A1,B1,438739.73,271026.66,regular
377764,C1,C10,C1,C15,A1,B1,514942.75,0,regular
377765,C4,C44,C1,C11,A2,B1,86738.18,0,regular
377766,C1,C13,C1,C13,A1,B1,46408.73,0,regular
377767,C1,C19,C1,C18,A1,B1,24743,261324.03,regular
377768,C1,C17,C2,C28,A1,B3,171011.86,0,regular
377769,C3,C35,C7,C78,A3,B2,17795.98,0,regular
377770,C7,C72,C5,C51,A3,B1,673937.96,0,regular
377771,C2,C26,C9,C97,A1,B1,707990.89,30265,regular
377772,C3,C35,C1,C12,A3,B1,630934.67,15593,regular
377773,C1,C15,C6,C68,A1,B2,1069476.23,44542,regular
377774,C1,C12,C1,C11,A1,B1,482331.78,0,regular
377775,C1,C12,C1,C15,A1,B1,1522159.49,202459,regular
377776,C8,C82,C1,C10,A1,B1,348978.18,0,regular
377777,C8,C81,C6,C61,A1,B2,797135.47,0,regular
377778,C2,C22,C3,C30,A1,B2,209752.96,140867,regular
377779,C1,C15,C1,C14,A1,B1,868701.52,0,regular
377780,C1,C17,C1,C14,A1,B1,4799183.39,0,regular
377781,C1,C12,C9,C93,A1,B1,4553518.54,50155,regular
377782,C4,C47,C7,C76,A2,B2,652898.16,329774.72,regular
377783,C1,C14,C3,C39,A1,B2,15000.34,0,regular
377784,C1,C15,C6,C64,A1,B2,292918.84,3453,regular
377785,C1,C18,C1,C12,A1,B1,1410781.96,0,regular
377786,C3,C30,C1,C19,A3,B1,525300.94,21021,regular
377787,C8,C84,C9,C98,A1,B1,1223924.3,0,regular
377788,C7,C74,C2,C21,A3,B3,130575.54,0,regular
377789,C3,C36,C1,C19,A3,B1,1038933.25,146,regular
377790,C5,C56,C1,C12,A3,B1,199544.08,0,regular
377791,C1,C15,C4,C41,A1,B3,141911.08,53737,regular
377792,C1,C19,C1,C19,A1,B1,124383.94,17481.79,regular
377793,C8,C85,C6,C64,A1,B2,537689.06,0,regular
377794,C1,C15,C5,C52,A1,B1,406429.35,0,regular
377795,C1,C14,C9,C91,A1,B1,482957.8,291,regular
377796,C4,C44,C1,C18,A2,B1,307252.61,7105.96,regular
377797,C1,C19,C1,C15,A1,B1,556650.57,10543,regular
377798,C3,C33,C1,C15,A3,B1,305685.82,154512,regular
377799,C1,C10,C1,C16,A1,B1,630402.84,228279.53,regular
377800,C3,C35,C5,C59,A3,B1,683495.53,0,regular
377801,C1,C12,C6,C65,A1,B2,897760.39,761723,regular
377802,C1,C10,C1,C18,A1,B1,50452.08,0,regular
377803,C4,C40,C1,C14,A2,B1,172724.02,169,regular
377804,C5,C59,C3,C33,A3,B2,1462666.48,0,regular
377805,C1,C16,C1,C17,A1,B1,114552.44,0,regular
377806,C3,C34,C8,C86,A3,B3,529322.19,66725,regular
377807,C8,C81,C1,C10,A1,B1,696459.01,0,regular
377808,C7,C78,C1,C19,A3,B1,1279403.2,103462,regular
377809,C1,C17,C3,C33,A1,B2,412693.22,317.41,regular
377810,C4,C46,C1,C14,A2,B1,244500.42,50076,regular
377811,C1,C10,C4,C46,A1,B3,79471.56,0,regular
377812,C2,C29,C5,C51,A1,B1,224871.09,0,regular
377813,C9,C94,C6,C68,A2,B2,196651.8,398655.38,regular
377814,C1,C17,C1,C13,A1,B1,2272352.96,14991,regular
377815,C1,C16,C1,C17,A1,B1,1872093.37,130931.23,regular
377816,C8,C82,C8,C88,A1,B3,1018239.23,0,regular
377817,C2,C21,C3,C37,A1,B2,606818.48,20692,regular
377818,C2,C20,C8,C87,A1,B3,197180.84,921923,regular
377819,C1,C14,C3,C36,A1,B2,1589520.49,0,regular
377820,C3,C30,C1,C15,A3,B1,828573.51,0,regular
377821,C9,C91,C1,C10,A2,B1,305640.75,694,regular
377822,C1,C11,C6,C64,A1,B2,163608.95,0,regular
377823,C3,C30,C1,C14,A3,B1,489357.18,32235,regular
377824,C2,C21,C1,C12,A1,B1,746751.39,858,regular
377825,C4,C42,C9,C99,A2,B1,367640.03,41461.05,regular
377826,C2,C20,C5,C51,A1,B1,1165291.96,10896,regular
377827,C1,C10,C1,C12,A1,B1,215145.63,0,regular
377828,C2,C21,C5,C51,A1,B1,711023.2,0,regular
377829,C1,C17,C1,C13,A1,B1,114630.69,0,regular
377830,C4,C46,C7,C72,A2,B2,344302.21,426778.74,regular
377831,C4,C42,C9,C94,A2,B1,3042440.97,202757,regular
377832,C7,C76,C6,C67,A3,B2,2723287.04,199697.32,regular
377833,C1,C10,C1,C18,A1,B1,256593.81,52192,regular
377834,C1,C10,C3,C34,A1,B2,158712.99,0,regular
377835,C2,C21,C7,C79,A1,B2,1925260.49,119157,regular
377836,C1,C19,C3,C38,A1,B2,809734.76,0,regular
377837,C2,C20,C1,C15,A1,B1,453651.84,0,regular
377838,C4,C41,C7,C78,A2,B2,331056.02,358,regular
377839,C1,C14,C5,C53,A1,B1,183065.2,1054,regular
377840,C1,C15,C2,C21,A1,B3,402589.88,9953,regular
377841,C1,C17,C1,C13,A1,B1,29319.11,79760,regular
377842,C9,C93,C1,C10,A2,B1,1031474.27,0,regular
377843,C6,C60,C1,C16,A2,B1,274934.61,5198,regular
377844,C4,C48,C1,C13,A2,B1,863627.45,0,regular
377845,C1,C15,C1,C17,A1,B1,1166601.85,23409.69,regular
377846,C5,C56,C1,C16,A3,B1,395208.75,0,regular
377847,C1,C16,C1,C16,A1,B1,8837371.93,27811,regular
377848,C1,C15,C3,C36,A1,B2,227825.99,147152,regular
377849,C1,C19,C1,C12,A1,B1,86413.39,34671,regular
377850,C1,C18,C1,C10,A1,B1,69565.86,0,regular
377851,C2,C26,C1,C18,A1,B1,161259.02,114886,regular
377852,C3,C39,C1,C12,A3,B1,16951.05,0,regular
377853,C6,C68,C4,C46,A2,B3,2922545.82,0,regular
